Parent Category,Category,Part Number,Long Description,MSRP/Trade Price,Sales Price,Future MSRP/Trade Price,Future MSRP/Trade Price Effective Date,Future Sales Price,Future Sales Price Effective Date,Minimum Order Quantity,Product Status,Agency,COO,UPC
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-09500-04-U,PCTEL 09500-04-U CELLULAR UPGRADE - PUBLIC SAFETY NETWORK TESTING SOLUTION (FROM P25),$44655.64,$29696.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-09531-NL,PCTEL SEEHAWK CENTRAL BASE WITH AUTOMATED WORKFLOW MANAGEMENT UNLIMITED UPLOADS,$0.00,$0.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-OP416,PCTEL OP416 DUAL BATTERY POWER PACK AND CHARGER KIT - IBFLEX (INCLUDES 2 BATTERIES),$2921.80,$1943.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-OP524-WI-FI,PCTEL WI-FI Technology Option,$5091.73,$3386.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-OP614-US,PCTEL OP614-US IBFLEX WI-FI WIRELESS ADAPTER - US (802.11A/B/G/N/AC),$443.61,$295.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-OPT009-1,PCTEL OPT009-1 SEEHAWK CENTRAL TRAINING - HALF DAY WEB BASED - FOR MULTIPLE CUSTOMERS,$0.00,$0.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,AD-DBYG-698-2700-N,698~2700MHZ DONOR YAGI ANTENNA (10 DBI GAIN 70 DEGREES HORIZONTAL BW 50 DEGREES VERTICAL BW),$309.77,$206.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,AD-DBYG-860-2000-12,PCS/Cellular Dual Band Yagi ( 5 dBi Gain ? 800MHz / 11.5 dBi Gain ? 1900MHz 80 ~ 120 degree beamwidth ? 800MHz / 40 ~ 60 degree beamwidth ? 1900MHz),$206.02,$137.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),Antenna,AD-OMNI-4T4R-4310,Omni-Directional 4x4 MIMO Antenna,$350.38,$233.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,AD-OMNI-SISO-4310,Low PIM SISO Omni Server Antenna (698MHz-2700MHz) (4.3-10 Female),$103.76,$69.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),Antenna,AD-OMNI-SISO-N,Low PIM SISO Omni Server Antenna (698MHz-2690MHz) (N Type),$93.23,$62.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),Antenna,AD-PA-1695-4200-D,High Isolation PCS/AWS/WCS/BRS + C-Band Donor Antenna (1695~2700 Mhz + 3300~4200 Mhz 19.6DBI Max Gain 12.9 Degree Min H/V Bean Widgth 34.2 Db Min Front-to-Back Ration Low PIM 2XDIN-Type Connectors),$1524.81,$1014.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),Antenna,AD-PA-1900-2600-DIN-X,High Isolation PCS/AWS/WCS/BRS Donor Antenna (1710~2690 MHz 20.5dBi max gain 14 degree min H/V beam width 40 dB front-to-back ratio Low PIM DIN-type connectors),$1236.09,$822.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),Antenna,AD-PA-617-960-D,Low-Band High Isolation Donor Antenna,$1236.09,$822.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,ADRF NEURON SERVICE PACK1,CONSULTIX NEURON HALF DAY REMOTE SYSTEM SETUP CONFIGURATION AND OPERATION,$3153.38,$2097.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,ADRF NEURON-90/HP5,CONSULTIX RF BEACON FOR DAS CONTINUITY CHECK; INJECTION SIGNAL 914.5 MHZ TRANSMIT LEVEL +5DBM BUILT-IN BATT,$123.31,$82.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,NEURON-90-CHECKER-2SL/HP5,CONSULTIX RF BEACON FOR DAS CONTINUITY CHECK; INJECTION SIGNAL 914.5 MHZ +5DBM TX LEVEL BUILT-IN BATTERY AD,$184.96,$123.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBL-U,UL 2524 LISTED LARGE BATTERY BACKUP ENCLOSURE,$2472.18,$1644.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBL-X,LARGE BATTERY BACKUP ENCLOSURE (MET CLASSIFIED FOR UL 2524 FIRE AND SHOCK),$2472.18,$1644.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBS-U,UL 2524 LISTED SMALL BATTERY BACKUP ENCLOSURE,$2266.17,$1507.00,,,,,1,Discontinued Item,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBS-X,SMALL BATTERY BACKUP ENCLOSURE,$2266.17,$1507.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBU-W,UL 2524 CERTIFIED WALL MOUNTABLE BATTERY BACKUP ENCLOSURE,$2472.18,$1644.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBU-W-045-2S,UL 2524 Certified Wall Mountable SLA Battery Backup Unit ? Supports 24V / 45AH,$2660.15,$1769.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBU-W-045-4S,UL 2524 Certified wall mountable SLA Battery backup unit - Supports 48V / 45AH,$3461.65,$2302.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBU-W-120-2S,UL 2524 Certified Wall Mountable SLA Battery Backup Unit ? Supports 24V / 120AH,$3360.90,$2235.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,ADRF-BBX-U-CBL-12,ADRF-BBX Cable for the PSR-U Series from 1 BBU to 2 ADRF Active Module,$515.79,$343.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Battery,TR120-12,12V 120Ah AGM Sealed Lead Acid Rechargeable Battery for ADRF-BBL Series enclosures,$520.30,$346.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),Battery,TR45-12,12V 45Ah AGM Sealed Lead Acid Rechargeable Battery for ADRF-BBS Series enclosures,$260.15,$173.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-AAI,ADX V DAS Head End Auxiliary Alarm Interface Module,$1575.94,$1048.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-CBL-BBX-11,ADX V DAS Head End cable to connect to BBL or BBS.  Compatible with ADXV-R-PSU-AC.,$278.20,$185.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-CBL-BBX-11-N4,ADXV-H-NMS-AC-N4 Enclosure to ADRF-BBL/S Batter Backup Cable,$278.20,$185.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-CHC-168-DL-X,ADX V DAS Head End Channel Combiner Module for Downlink (16 Inputs + 8 Outputs) (supports C Band),$3482.71,$2316.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-CHC-88-DL,ADX V DAS Head End Channel Combiner Module for Downlink (8 Inputs + 8 Outputs),$793.98,$528.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-CHC-88-UL,ADX V DAS Head End Channel Combiner Module for Uplink (8 Inputs + 8 Outputs),$793.98,$528.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-NMS-AC,ADX V DAS Head End Chassis + Network Management System + AC Power Supply Unit,$3502.26,$2329.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-NMS-AC-N4,ADXV Head End Network Management System,$5975.94,$3974.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-NMS-DC,ADX V DAS Head End Chassis + Network Management System + DC Power Supply Unit,$3502.26,$2329.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-NMS-SGS1,ADX V DAS Head End Chassis Safety Guard (Custom),$1278.20,$850.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-NMS-WMK,ADX V DAS Head End Wall Mount Kit for ADXV-H-NMS-AC/DC,$350.38,$233.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-ODU-1,ADX V DAS Head End Optical Donor Unit Module (1 Port),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-ODU-1-X,ADX V DAS Head End Optical Donor Unit Module (1 Port) (sppt C Band),$5521.80,$3672.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-ODU-4,ADX V DAS Head End Optical Donor Unit Module (4 Ports),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-ODU-4-X,ADX V DAS Head End Optical Donor Unit Module (4 Ports) (supports C Band),$5521.80,$3672.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-6,ADX V DAS Head End Point Of Interface Module 600MHz (0-48dBm),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-7APT,ADX V DAS Head End Point Of Interface Module 700MHz APT FDD (0-48dBm),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-7L,ADX V DAS Head End Point Of Interface Module 700MHz Lower A B C (0-48dBm),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-7U,ADX V DAS Head End Point Of Interface Module 700MHz Upper C + Band 14 (0-48dBm),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-A,ADX V DAS Head End Point Of Interface Module AWS-1 + AWS-3 (0-48dBm),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-BT,ADX V DAS Head End Point Of Interface Module BRS TD-LTE (0-48dBm),$3410.53,$2268.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-BTF,ADX V DAS Head End Point Of Interface Module BRS TD-LTE / 5GNR (0-48dBm),$3410.53,$2268.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POIL-78P,ADX V DAS Head End Point Of Interface Module Public Safety 700MHz/800MHz (0-25dBm),$1533.83,$1020.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POIL-9P,ADX V DAS Head End Point Of Interface Module 900MHz + Paging (0-25dBm),$2153.38,$1432.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POIL-VU,ADX V DAS Head End Point Of Interface Module VHF/UHF (0-25dBm) (2 slots),$2781.95,$1850.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-N77L,ADX V DAS Head End Point Of Interface Module C Band Low (3.45-3.55GHz) (0-46dBm),$4636.09,$3083.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-P,ADX V DAS Head End Point Of Interface Module PCS (0-48dBm),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-S8C,ADX V DAS Head End Point Of Interface Module SMR800MHz (Commercial) + Cellular (0-48dBm),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-POI-W,ADX V DAS Head End Point Of Interface Module WCS (0-48dBm),$2616.54,$1740.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Head End,ADXV-H-RACK,ADX V DAS Head End Chassis (Rack Type) (supports 2 HE Modules),$1040.60,$692.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-436,ADX V DAS High Power Remote 600MHz 43dBm Amplifier Module,$5430.08,$3611.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-437F,ADX V DAS High Power Remote 700MHz Lower A/B/C + Upper C 43dBm Amplifier Module,$5430.08,$3611.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-437FN,ADX V DAS High Power Remote 700MHz Lower A/B/C + Upper C + Band 14 43dBm Amplifier Module,$8345.86,$5550.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-43BTF,ADX V DAS High Power Remote BRS 5G/TD-LTE 43dBm Amplifier Module,$6562.41,$4364.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-43S8C,ADX V DAS High Power Remote SMR800MHz (Commercial) + Cellular 43dBm Amplifier Module,$5430.08,$3611.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-45W,ADX V DAS High Power Remote WCS 45dBm Amplifier Module,$5676.69,$3775.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-46A,ADX V DAS High Power Remote AWS-1 + AWS-3 46dBm Amplifier Module,$5676.69,$3775.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-46BT,ADX V DAS High Power Remote BRS TD-LTE 46dBm Amplifier Module,$6562.41,$4364.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-46P,ADX V DAS High Power Remote PCS 46dBm Amplifier Module,$5676.69,$3775.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CBL-12M,ADX V DAS High Power Remote Unit 1-to-2 PSU cable to support MIMO with 1 PSU,$299.25,$199.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CBL-12S,ADX V DAS High Power Remote Unit 1-to-2 PSU cable to support SISO with 1 PSU,$299.25,$199.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CBL-13M-50,ADX V DAS HIGH POWER REMOTE 1:3 50V POWER SUPPLY MIMO CABLE,$577.44,$384.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CBL-13S,ADX V DAS High Power Remote Unit 1-to-3 PSU cable to support SISO with 1 PSU,$299.25,$199.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CBL-21B-50,ADX V DAS HIGH POWER REMOTE 1:2 50V POWER DATA BRIDGE CABLE TO MONITOR ADDITIONAL HPR-N77X with 1 ORU-X,$463.16,$308.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CHA,ADX V DAS High Power Remote Chassis (supports 6 HPR Modules) (rack or wall mountable),$1000.00,$665.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CHA-SG,ADX V DAS High Power Remote Unit Chassis Safety Guard,$1000.00,$665.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CHA-SGS1,ADX V DAS High Power Remote Unit Chassis Safety Guard (Custom),$1596.99,$1062.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CHC-U,ADX V DAS High Power Remote Universal Channel Combiner (700MHz SMR800MHz + Cellular PCS AWS WCS BRS),$4172.93,$2775.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CHC-U-LH,ADX V DAS High Power Remote Universal Channel Combiner (700MHz SMR800MHz + Cellular Low Port / PCS AWS WCS BRS High Port),$4172.93,$2775.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CHC-X,ADX V DAS High Power Remote Universal Channel Combiner (600MHz 700MHz SMR800MHz + Cellular PCS AWS WCS BRS CBRS),$4636.09,$3083.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-CHC-X2,ADX V DAS High Power Remote Universal Channel Combiner (600MHz 700MHz SMR800MHz + Cellular PCS AWS WCS BRS,$6181.95,$4111.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-ORU-X-CBL-DC-50,ADXV DC Power Cable Between ADXV-HPR-PSU-50 And ADXV-HPR-ORU-X (7-PIN to 7-PIN),$257.14,$171.00,,,,,1,,UL,EG,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-PMK,ADX V DAS High Power Remote Pole Mount Chassis (supports 8 HPR & 1 HPR-CHC Modules),$2875.19,$1912.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-PSU-AC,ADX V DAS High Power Remote AC Power Supply Unit Module,$3945.86,$2624.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-PSU-DC,ADX V DAS High Power Remote DC Power Supply Unit Module,$3945.86,$2624.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS High Power Remote Unit,ADXV-HPR-RACK,ADX V DAS High Power Remote Chassis (Rack Type) (supports 1 HPR Module),$1072.18,$713.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-BPF-7PDL,ADX V DAS Remote Unit External Filter to support PS 700 DL path,$1163.91,$774.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-BPF-7PS8DL,ADX V DAS Remote Unit External Filter to support PS 700 and SMR 800 DL path,$1442.11,$959.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-BPF-S8DL,ADX V DAS Remote Unit External Filter to support PS 800 DL path,$1163.91,$774.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-EF-7F,ADX V DAS Remote Unit External Filter to support 700MHz Commercial,$1442.11,$959.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-EF-CHA-N4X,ADX V DAS IP66 enclosure for up to 2 ADXV External Filters,$700.75,$466.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-EF-S8C,ADX V DAS Remote Unit External Filter to support SMR 800 Commercial/Cellular,$1236.09,$822.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-25VU-N4X,ADX V DAS Remote Unit VHF/UHF 25dBm Amplifier Module (incl ORU PSU AC IP66),$6027.07,$4008.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-336,ADX V DAS Remote Unit 600MHz 33dBm Amplifier Module,$2091.73,$1391.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-3378P-N4X,ADX V DAS Remote Unit Public Safety 700MHz/800MHz 33dBm Amplifier Module (incl ORU PSU AC IP66),$6027.07,$4008.00,,,,,1,Discontinued Item,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-3378P-U,UL 2524 Listed ADX V DAS Remote Unit Public Safety 700Mhz/800Mhz 33Dbm Amplifier Module (Includes ORU PSU AC IP66),$6800.00,$4522.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-337APT,ADX V DAS Remote Unit 700MHz APT FDD 33dBm Amplifier Module,$2091.73,$1391.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-337F,ADX V DAS Remote Unit 700MHz Lower A/B/C + Upper C 33dBm Amplifier Module,$2091.73,$1391.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-337FN,ADX V DAS Remote Unit 700MHz Lower A/B/C + Upper C + Band 14 33dBm Amplifier Module,$4636.09,$3083.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-339P,ADX V DAS Remote Unit 900MHz + Paging 33dBm Amplifier Module,$3544.36,$2357.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-33BTF,ADX V DAS Remote Unit BRS 5G/LTE-TDD 33dBm Amplifier Module,$3440.60,$2288.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-33S8C,ADX V DAS Remote Unit SMR800MHz (Commercial) + Cellular 33dBm Amplifier Module,$2091.73,$1391.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-37A,ADX V DAS Remote Unit AWS-1 + AWS-3 37dBm Amplifier Module,$2369.92,$1576.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-37B,ADX V DAS Remote Unit BRS LTE-FDD 37dBm Amplifier Module,$3544.36,$2357.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-37BT,ADX V DAS Remote Unit BRS LTE-TDD 37dBm Amplifier Module,$3544.36,$2357.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-37N77L,ADX V DAS Remote Unit C Band Low (3.45-3.55GHz) 37dBm Amplifier Module,$9344.36,$6214.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-37P,ADX V DAS Remote Unit PCS 37dBm Amplifier Module,$2369.92,$1576.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-37W,ADX V DAS Remote Unit WCS 37dBm Amplifier Module,$2369.92,$1576.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-6WS,ADX V DAS Remote Unit 6-Way Splitter (supports 6 RU Amplifier Modules) (rack or wall mountable),$1854.14,$1233.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-ADP,ADX V DAS OEU-8 AC/DC Power Adaptor,$237.59,$158.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CBL-11B,ADX V DAS Remote Unit 1-to-1 PSU communication bridge cable,$278.20,$185.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CBL-12S,ADX V DAS Remote Unit 1 to 2 power splitter cable (has data pins intact) for SISO ,$278.20,$185.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CBL-13,ADX V DAS Remote Unit 1-to-3 PSU cable to support MIMO with 1 PSU,$278.20,$185.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CHA,ADX V DAS Remote Unit Chassis (supports 7 RU Modules) (rack or wall mountable),$669.17,$445.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CHA-3,ADX V DAS Remote Unit Chassis (supports 3 RU Modules) (rack or wall mountable),$669.17,$445.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CHA-4,ADX V DAS Remote Unit Chassis (supports 4 RU Modules) (rack or wall mountable),$669.17,$445.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CHA-SG,ADX V DAS Remote Unit Chassis Safety Guard,$669.17,$445.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CHA-SGS1,ADX V DAS Remote Unit Chassis Safety Guard (Custom),$957.89,$637.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CHC-U,ADX V DAS Remote Unit Universal Channel Combiner (700MHz SMR800MHz + Cellular PCS AWS WCS BRS),$2781.95,$1850.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CHC-X,ADX V DAS Remote Unit Universal Channel Combiner (600MHz 700MHz SMR800MHz + Cellular PCS AWS WCS BRS CBRS),$2700.75,$1796.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-CHC-X2,ADX V DAS Remote Unit Universal Channel Combiner (600MHz 700MHz SMR800MHz + Cellular PCS AWS WCS BRS C Band),$4945.86,$3289.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-FAN-CBL-12,ADX V DAS Remote Unit 1 to 2 power splitter cable to support 2 FANs with 1 ORU,$577.44,$384.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-FAN-DC,DC Fan for Remote Unit Chassis (Rack Mounted),$350.38,$233.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-OEU-8,ADX V DAS Optical Expansion Unit (supports 8 Remote Units),$6789.47,$4515.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-OEU-8-X,ADX V DAS Optical Expansion Unit (supports 8 Remote Units) (sppt C Band),$10920.30,$7262.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-ORU-X,ADX V DAS Remote Unit Optical Remote Unit Module (supports C Band),$5099.25,$3391.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-PSU-AC,ADX V DAS Remote Unit AC Power Supply Unit Module,$1834.59,$1220.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-PSU-DC,ADX V DAS Remote Unit DC Power Supply Unit Module,$1834.59,$1220.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Medium Power Remote Unit,ADXV-R-RACK,ADX V DAS Remote Unit Chassis (Rack Type) (supports 2 RU Module),$834.59,$555.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Spare Parts,ADXV-H-NMS-CBL-AC,6ft AC Power Cable (Chogori to 3-prong),$184.96,$123.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Spare Parts,ADXV-HPR-PMK-RB-14,ADXV-HPR Ring Bracket Set (2 rings) with pole diameter support for 10-14in,$1628.57,$1083.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Spare Parts,ADXV-HPR-PMK-RB-30,ADXV-HPR Ring Bracket Set (2 rings) with pole diameter support for 20-30in,$2091.73,$1391.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Spare Parts,ADXV-R-CBL-AC,ADX V DAS Remote Unit Power Supply AC Cable,$184.96,$123.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),DAS Spare Parts,ADXV-R-CBL-ALM,ADX V DAS Remote Unit Alarming Cable,$144.36,$96.00,,,,,1,,,KR,
